customerid,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,mode_category,tgt
12726,4,1297.04,1609,130,22,324.26,32.5,0,0,0,0,0,0,POST,0
12727,7,2767.3999999999996,1595,133,25,395.3428571428571,19,0,0,0,0,1,0,POST,0
12731,7,8431.769999999993,4122,137,13,1204.5385714285705,19.571428571428573,0,0,0,2,0,4,84879,0
12744,6,4171.81,2475,69,86,695.3016666666667,11.5,0,2,1,0,0,0,M,0
12747,5,1761.4299999999998,587,158,2,352.28599999999994,31.6,0,2,1,0,0,3,21136,0
12748,69,7151.3999999999705,4405,175,0,103.64347826086914,2.536231884057971,0,8,3,1,5,3,85099,0
12753,6,9111.26,4499,109,65,1518.5433333333333,18.166666666666668,0,0,0,0,2,0,22661,0
12754,5,2949.119999999999,6479,72,73,589.8239999999998,14.4,0,0,0,0,0,0,M,1
12757,11,831.0299999999999,456,25,23,75.5481818181818,2.272727272727273,0,1,0,0,0,0,M,0
12775,5,1129.88,716,121,27,225.97600000000003,24.2,0,0,1,0,0,0,POST,1
12778,4,492.05999999999995,458,129,21,123.01499999999999,32.25,0,0,0,0,0,0,POST,1
12779,9,2657.950000000002,1225,137,27,295.327777777778,15.222222222222221,0,0,0,0,0,0,37450,1
12826,4,657.02,637,155,6,164.255,38.75,0,0,0,0,0,0,20727,0
12839,4,959.6199999999998,674,104,21,239.90499999999994,26,0,2,0,0,0,0,85099,0
12840,5,2138.27,1153,43,20,427.654,8.6,0,2,1,0,0,0,85099,0
12841,11,1655.0000000000005,1000,156,18,150.4545454545455,14.181818181818182,0,0,0,0,7,0,47566,0
12843,7,1376.5100000000004,660,96,6,196.6442857142858,13.714285714285714,0,3,2,2,5,0,47566,0
12845,4,354.09,204,22,105,88.5225,5.5,0,0,0,0,0,0,84375,1
12853,5,862.5999999999999,320,101,52,172.51999999999998,20.2,0,0,0,1,0,0,22926,0
12854,4,775.0199999999999,417,77,79,193.75499999999997,19.25,0,0,2,2,1,1,85169,0
12867,4,1989.66,2224,132,3,497.415,33,0,0,0,0,1,3,79190,0
12868,5,1403.7600000000007,816,145,23,280.7520000000001,29,0,0,2,1,0,4,84879,1
12877,7,808.7700000000001,395,152,15,115.53857142857144,21.714285714285715,0,0,0,0,0,0,15044,0
12888,4,313.77,68,41,52,78.4425,10.25,0,0,0,0,0,0,79160,1
12901,20,8697.28,7965,107,1,434.86400000000003,5.35,0,0,0,0,0,0,22713,0
12909,5,1485.920000000001,779,62,29,297.1840000000002,12.4,0,2,0,3,0,0,23298,0
12916,4,2288.9799999999987,848,118,39,572.2449999999997,29.5,0,2,2,0,2,0,84949,0
12921,22,5253.219999999996,3414,154,22,238.78272727272707,7,0,6,0,4,1,3,85099,0
12924,4,651.52,284,129,36,162.88,32.25,0,0,0,0,0,0,22801,0
12931,6,3661.7000000000007,2850,98,41,610.2833333333334,16.333333333333332,0,0,0,0,0,0,21731,0
12947,8,908.7999999999998,892,165,9,113.59999999999998,20.625,0,0,0,0,1,0,20725,0
12949,5,2226.5,1261,46,44,445.3,9.2,0,0,1,1,1,1,84970,0
12951,7,729.7799999999999,328,167,1,104.2542857142857,23.857142857142858,0,0,0,0,1,0,84832,1
12955,6,985.4799999999998,750,103,2,164.24666666666664,17.166666666666668,0,0,0,0,0,1,22699,0
12957,6,1699.44,1237,153,24,283.24,25.5,0,0,0,0,1,0,85049,0
12971,40,4779.449999999995,3577,168,6,119.48624999999988,4.2,0,0,0,0,0,0,22084,0
12980,8,5573.490000000001,759,154,14,696.6862500000001,19.25,0,0,0,0,0,0,84078,0
12989,8,3119.1400000000003,1437,127,38,389.89250000000004,15.875,0,0,0,0,0,0,22301,0
12997,4,583.27,287,83,71,145.8175,20.75,0,0,1,0,0,0,21313,0
13001,12,7824.450000000005,4476,141,22,652.0375000000005,11.75,0,4,1,0,7,3,47566,0
13004,12,2754.9699999999993,2531,165,6,229.5808333333333,13.75,0,3,1,1,1,0,85141,0
13012,5,372.1700000000001,164,115,17,74.43400000000001,23,0,0,0,0,0,0,22501,0
13014,8,1728.5299999999995,509,115,3,216.06624999999994,14.375,0,0,0,5,1,0,22423,0
13015,4,1763.0399999999997,705,52,35,440.75999999999993,13,0,0,0,1,0,2,84879,1
13018,13,3847.95,2767,116,17,295.99615384615385,8.923076923076923,0,0,0,1,2,0,84950,0
13021,4,988.3700000000002,469,134,4,247.09250000000006,33.5,0,2,0,1,0,0,85099,0
13047,7,1835.5999999999985,745,163,11,262.22857142857123,23.285714285714285,0,0,2,2,3,0,84969,0
13050,10,2183.260000000001,1280,135,23,218.3260000000001,13.5,0,1,0,2,1,2,82484,0
13069,14,1851.470000000001,1896,153,18,132.2478571428572,10.928571428571429,0,0,0,0,3,1,84596,0
13078,16,4247.2699999999995,1460,169,1,265.45437499999997,10.5625,0,0,0,0,0,0,21745,0
13081,9,11832.280000000013,8146,134,42,1314.6977777777793,14.88888888888889,0,0,3,4,4,0,47566,0
13082,8,2227.380000000001,2947,161,14,278.4225000000001,20.125,0,0,0,0,0,0,22726,0
13089,61,24561.860000000073,14101,169,7,402.653442622952,2.7704918032786887,0,5,4,13,7,9,22423,0
13090,7,2761.1899999999996,697,153,13,394.45571428571424,21.857142857142858,0,0,0,0,0,1,22622,0
13092,4,236.3,56,65,49,59.075,16.25,0,0,0,0,1,0,23176,0
13093,10,3945.9599999999996,2384,70,105,394.59599999999995,7,0,1,1,3,0,0,22383,1
13094,11,650.9400000000002,582,156,20,59.176363636363654,14.181818181818182,0,0,3,0,0,0,22791,0
13097,8,3622.709999999997,1565,164,11,452.8387499999996,20.5,0,0,0,6,4,0,22423,0
13098,19,9399.130000000008,5411,148,7,494.6910526315794,7.7894736842105265,0,1,3,4,0,0,22382,0
13102,17,3243.8800000000015,2277,161,11,190.81647058823538,9.470588235294118,0,0,3,0,0,0,22659,0
13110,4,696.6900000000002,201,54,95,174.17250000000004,13.5,0,0,3,1,0,0,85123,0
13113,30,8257.65,2020,168,0,275.255,5.6,0,0,0,8,9,0,22501,0
13115,5,855.8000000000004,612,168,6,171.16000000000008,33.6,0,0,0,0,0,0,82616,0
13117,4,363.21999999999986,396,101,55,90.80499999999996,25.25,0,0,0,0,1,0,71459,0
13118,4,786.2899999999997,265,80,46,196.57249999999993,20,0,0,0,0,0,0,22059,1
13126,4,830.5800000000002,930,85,91,207.64500000000004,21.25,0,0,0,0,0,0,85186,0
13134,5,849.7900000000001,319,56,21,169.95800000000003,11.2,0,1,1,1,1,0,22960,0
13141,5,1398.08,941,101,52,279.616,20.2,0,1,1,2,0,1,22697,0
13148,8,1213.290000000001,576,134,17,151.66125000000014,16.75,0,0,3,1,0,1,85123,0
13162,4,1262.14,1346,150,22,315.535,37.5,0,1,0,0,1,0,85034,0
13168,4,963.6100000000005,555,119,37,240.90250000000012,29.75,0,0,2,1,0,0,82582,1
13178,5,2600.9300000000003,1505,124,9,520.186,24.8,0,2,0,0,0,0,84997,0
13184,6,897.4700000000004,936,105,22,149.5783333333334,17.5,0,0,0,0,0,0,85132,0
13199,17,3440.600000000001,2504,166,10,202.3882352941177,9.764705882352942,0,0,0,0,0,0,84947,0
13213,4,549.38,322,23,14,137.345,5.75,0,0,0,0,1,0,85231,0
13225,4,2154.3599999999997,940,141,34,538.5899999999999,35.25,0,2,0,0,0,0,82483,0
13230,8,1706.0300000000018,882,118,39,213.25375000000022,14.75,0,2,4,3,2,0,85099,0
13232,4,878.4500000000006,549,62,18,219.61250000000015,15.5,0,1,0,0,0,0,84991,0
13246,5,1860.9900000000007,1546,153,14,372.19800000000015,30.6,0,2,1,0,0,0,22469,1
13263,18,3976.199999999998,2337,161,1,220.8999999999999,8.944444444444445,0,0,14,6,3,0,84596,0
13266,9,1799.6700000000008,2318,71,23,199.96333333333342,7.888888888888889,0,0,0,0,0,0,85132,0
13267,11,1580.9899999999998,679,140,28,143.72636363636363,12.727272727272727,0,0,0,0,1,3,82486,0
13268,9,2111.399999999999,2497,97,7,234.5999999999999,10.777777777777779,0,0,0,0,0,0,22892,0
13269,5,1669.8500000000004,1144,70,17,333.9700000000001,14,0,3,1,0,3,0,22431,0
13310,4,785.8499999999999,387,124,38,196.46249999999998,31,0,0,2,0,1,1,85231,1
13317,5,954.8200000000002,376,56,21,190.96400000000003,11.2,0,0,0,2,2,0,22699,1
13319,14,3967.710000000003,1732,169,7,283.4078571428574,12.071428571428571,0,2,0,5,4,6,84879,0
13324,7,3116.0399999999995,2260,109,41,445.14857142857136,15.571428571428571,0,0,0,5,0,0,22423,0
13397,4,975.5200000000001,299,160,17,243.88000000000002,40,0,1,0,0,0,0,22720,0
13408,30,9810.279999999999,5917,170,4,327.0093333333333,5.666666666666667,0,1,5,0,0,1,85123,0
13410,4,539.19,297,104,25,134.7975,26,0,0,0,0,0,0,22148,0
13418,9,1946.9999999999995,1316,89,1,216.3333333333333,9.88888888888889,0,0,0,0,0,0,22729,0
13426,4,1221.6999999999994,1057,153,20,305.42499999999984,38.25,0,0,0,0,0,0,22037,0
13451,4,1592.6800000000019,1099,123,49,398.17000000000047,30.75,0,1,0,0,1,0,22383,0
13458,12,5323.549999999997,3312,168,7,443.62916666666644,14,0,1,4,1,2,4,22766,0
13468,19,2774.3400000000015,1200,152,17,146.01789473684218,8,0,0,6,0,1,0,85123,0
13475,4,1431.7800000000002,1012,107,29,357.94500000000005,26.75,0,0,3,0,0,0,84596,1
13476,4,1092.7699999999998,414,102,16,273.19249999999994,25.5,0,0,1,1,1,0,85014,1
13477,5,752.7399999999997,503,121,8,150.54799999999994,24.2,0,0,0,2,1,0,22466,0
13488,8,4095.759999999997,2011,160,14,511.96999999999963,20,0,0,4,1,0,1,85123,0
13491,6,835.23,704,85,85,139.205,14.166666666666666,0,0,0,0,0,0,84596,0
13505,5,2518.37,1252,66,4,503.674,13.2,0,0,0,4,1,0,22699,0
13534,26,2543.3500000000004,1353,153,21,97.82115384615386,5.884615384615385,0,9,0,0,0,0,85099,0
13549,4,510.46999999999997,306,49,30,127.61749999999999,12.25,0,2,1,1,1,0,85099,0
13552,10,2107.8,756,150,3,210.78000000000003,15,0,0,0,1,0,0,23118,0
13571,4,507.30999999999995,357,68,22,126.82749999999999,17,0,0,2,0,0,0,22197,0
13576,9,3119.65,1221,161,14,346.6277777777778,17.88888888888889,0,0,0,0,0,0,21137,0
13593,5,1344.4499999999996,469,173,0,268.88999999999993,34.6,0,0,3,0,2,0,85123,0
13599,11,1591.6199999999994,891,153,22,144.6927272727272,13.909090909090908,0,1,0,0,0,1,23084,0
13610,4,466.4199999999999,224,97,25,116.60499999999998,24.25,0,1,0,0,1,0,22773,0
13623,5,532.0200000000001,148,87,48,106.40400000000002,17.4,0,1,2,1,0,0,90200,1
13629,5,3666,2050,165,11,733.2,33,0,5,0,0,0,0,85099,0
13630,7,1029.7400000000002,704,114,9,147.10571428571433,16.285714285714285,0,1,0,0,0,1,22178,0
13631,8,2290.7200000000003,354,102,2,286.34000000000003,12.75,0,0,0,3,0,0,22423,0
13632,4,810.35,315,69,11,202.5875,17.25,0,1,2,1,2,0,85123,1
13636,4,533.9499999999999,297,36,86,133.48749999999998,9,0,0,1,0,0,0,85131,0
13662,6,514.2600000000001,358,76,20,85.71000000000002,12.666666666666666,0,0,0,0,2,0,47566,0
13668,16,4018.8400000000015,2426,168,4,251.1775000000001,10.5,0,0,1,0,5,0,47566,0
13672,6,-71.46,-1,32,139,-11.909999999999998,5.333333333333333,0,0,0,0,0,0,85232,1
13692,4,850.13,733,32,41,212.5325,8,0,0,0,0,0,1,22839,1
13694,31,29485.33999999999,33430,176,0,951.1399999999996,5.67741935483871,0,4,1,0,3,0,84596,0
13695,6,749.5400000000001,454,89,8,124.92333333333335,14.833333333333334,0,0,0,0,2,4,84879,0
13700,6,1245.8,1559,150,14,207.63333333333333,25,0,0,0,0,0,0,84596,0
13717,4,741.47,1227,126,10,185.3675,31.5,0,0,0,3,0,1,85212,0
13725,9,1828.0999999999997,716,139,7,203.12222222222218,15.444444444444445,0,0,0,2,1,0,21936,0
13735,4,1335.5499999999997,692,58,13,333.88749999999993,14.5,0,0,0,0,0,1,84279,1
13742,12,2620.1200000000003,963,157,0,218.34333333333336,13.083333333333334,0,0,3,0,0,0,22926,0
13752,4,891.5300000000001,709,61,22,222.88250000000002,15.25,0,0,0,0,0,0,21326,0
13767,25,5399.929999999994,2173,174,2,215.99719999999976,6.96,0,0,1,10,3,11,22727,0
13769,6,1118.9600000000003,487,118,45,186.49333333333337,19.666666666666668,0,0,3,0,0,0,84945,0
13777,16,4641.09,2038,164,3,290.068125,10.25,0,3,7,0,0,0,22041,0
13784,7,1632.3899999999999,1745,164,6,233.1985714285714,23.428571428571427,0,0,0,2,0,0,84970,0
13798,37,20361.75,12764,173,3,550.3175675675676,4.675675675675675,0,14,7,0,4,0,85099,0
13811,4,591.75,67,55,21,147.9375,13.75,0,0,0,0,0,0,POST,1
13842,5,1517.9000000000003,566,137,37,303.58000000000004,27.4,0,0,0,1,0,2,85066,0
13854,17,4495.3,1248,139,27,264.4294117647059,8.176470588235293,0,0,0,5,3,7,84879,0
13856,5,363.4,484,34,6,72.67999999999999,6.8,0,0,0,0,0,0,79000,1
13862,6,1130.4600000000005,803,147,23,188.41000000000008,24.5,0,0,0,0,0,0,22993,0
13870,4,881.1999999999999,539,123,2,220.29999999999998,30.75,0,0,0,1,0,1,23245,0
13871,6,3010.820000000001,1309,146,0,501.8033333333335,24.333333333333332,0,2,0,3,0,0,82482,0
13880,5,1241.77,663,110,24,248.35399999999998,22,0,0,0,1,2,0,84912,0
13881,8,5150.33,3583,148,1,643.79125,18.5,0,0,0,0,0,2,84050,0
13883,7,1643.2,843,125,38,234.74285714285716,17.857142857142858,0,0,0,1,0,0,22995,1
13884,4,189.95000000000002,62,5,115,47.487500000000004,1.25,0,0,1,0,0,0,21314,0
13911,6,1703.9100000000012,1465,111,35,283.9850000000002,18.5,0,0,0,0,1,0,22693,0
13969,7,2232.590000000001,1205,153,7,318.94142857142873,21.857142857142858,0,3,0,2,0,0,85132,0
13971,6,1233.24,848,106,16,205.54,17.666666666666668,0,1,0,0,2,1,22722,0
13983,7,1351.7000000000003,573,139,25,193.10000000000005,19.857142857142858,0,0,0,1,0,0,71459,0
13985,4,1129.6999999999994,550,81,20,282.42499999999984,20.25,0,2,0,0,0,0,22381,0
13988,4,1916.8500000000001,1289,92,0,479.21250000000003,23,0,0,2,0,0,3,84879,0
13993,5,1488.5700000000004,404,125,43,297.71400000000006,25,0,1,0,1,0,1,84509,0
13999,5,1251.3700000000003,767,151,9,250.27400000000006,30.2,0,1,0,0,3,0,84755,0
14031,11,5014.700000000002,1994,168,6,455.88181818181835,15.272727272727273,0,1,0,4,0,2,15056,0
14032,7,1195.1999999999998,919,107,6,170.7428571428571,15.285714285714286,0,0,0,0,0,0,22064,0
14040,8,1899.48,758,160,9,237.435,20,0,4,1,4,0,0,85099,0
14051,12,4408.130000000001,1143,141,11,367.34416666666675,11.75,0,0,0,4,3,0,15056,0
14056,12,3687.369999999991,2049,100,22,307.28083333333257,8.333333333333334,0,3,0,0,0,0,22191,0
14057,8,2162.6499999999996,1711,132,0,270.33124999999995,16.5,0,1,0,0,0,0,22900,0
14060,8,2521.0599999999986,2374,149,21,315.1324999999998,18.625,0,0,0,0,0,0,23158,0
14062,4,3750.5499999999997,2037,147,14,937.6374999999999,36.75,0,0,0,0,0,0,84596,0
14064,4,686.64,863,62,49,171.66,15.5,0,0,2,0,0,0,84459,0
14078,4,691.6700000000001,208,99,22,172.91750000000002,24.75,0,0,0,0,0,0,15044,0
14085,8,1770.1200000000006,1487,155,13,221.26500000000007,19.375,0,0,1,1,0,5,84879,0
14088,4,15388.000000000002,3677,152,8,3847.0000000000005,38,0,1,1,1,0,0,72807,0
14092,7,1471.7800000000007,758,151,8,210.2542857142858,21.571428571428573,0,0,2,0,0,0,22960,0
14099,6,1330.5499999999995,1018,159,8,221.75833333333324,26.5,0,0,0,0,0,0,84508,0
14101,4,4159.389999999999,5850,128,35,1039.8474999999999,32,0,0,0,0,0,2,22659,0
14107,4,1473.5999999999997,1012,120,14,368.3999999999999,30,0,0,0,1,0,0,22652,0
14110,4,2067.74,944,95,9,516.935,23.75,0,2,2,0,2,0,85099,0
14112,5,1069.4999999999995,648,71,41,213.89999999999992,14.2,0,2,0,0,0,0,85099,0
14135,5,1494.41,1890,151,24,298.882,30.2,0,0,0,0,0,0,85049,0
14156,26,50789.07000000001,24407,165,1,1953.4257692307694,6.346153846153846,4,2,2,5,2,0,22699,0
14159,4,1224.5200000000007,1113,86,7,306.13000000000017,21.5,0,2,3,0,0,0,84596,0
14175,4,1146.3899999999999,586,158,9,286.59749999999997,39.5,0,0,0,1,0,0,84970,0
14180,19,2598.1699999999983,386,170,6,136.7457894736841,8.947368421052632,0,0,0,0,0,0,84968,0
14189,11,1825.1799999999994,1606,137,38,165.9254545454545,12.454545454545455,0,0,1,0,0,2,22728,0
14191,5,1080.8500000000001,598,58,0,216.17000000000002,11.6,0,3,0,0,2,0,85099,0
14194,14,3895.0599999999995,1932,140,6,278.2185714285714,10,0,3,3,2,6,2,47566,0
14201,5,284.46000000000004,158,48,24,56.89200000000001,9.6,0,0,0,0,2,3,84879,0
14209,4,1076.85,332,126,44,269.2125,31.5,0,0,2,0,0,0,22789,0
14210,4,1294.6999999999998,548,141,35,323.67499999999995,35.25,0,0,2,0,3,0,47566,0
14211,8,880.84,488,87,45,110.105,10.875,0,2,1,2,0,0,85099,0
14214,4,818.0599999999997,615,107,8,204.51499999999993,26.75,0,0,0,1,0,0,21871,0
14215,4,920.4700000000003,481,143,24,230.11750000000006,35.75,0,0,0,0,0,0,22701,0
14217,9,838.0799999999999,280,167,7,93.11999999999999,18.555555555555557,0,0,0,0,1,0,22427,0
14221,5,1648.8799999999994,847,154,22,329.7759999999999,30.8,0,0,1,0,2,1,22470,0
14226,4,1678.8499999999995,1080,70,37,419.71249999999986,17.5,0,0,0,2,0,1,79000,0
14227,11,2389.020000000001,1273,99,23,217.18363636363645,9,0,3,1,0,0,1,85099,0
14229,4,665.53,283,41,129,166.3825,10.25,0,0,0,2,0,2,22456,1
14231,5,822.0600000000001,402,109,17,164.412,21.8,0,2,0,1,1,1,85099,1
14232,4,1001.4799999999999,806,81,21,250.36999999999998,20.25,0,0,0,0,0,0,21520,0
14239,8,1237.6899999999998,587,115,38,154.71124999999998,14.375,0,1,3,2,0,0,85123,0
14243,6,1273.0199999999998,578,146,9,212.16999999999996,24.333333333333332,0,0,0,0,0,0,22722,0
14245,5,1677.4800000000007,971,87,14,335.49600000000015,17.4,0,0,0,1,1,0,84913,1
14258,6,7607.819999999998,4638,137,37,1267.9699999999996,22.833333333333332,0,2,3,0,2,0,85099,0
14267,5,1488.8899999999996,517,97,0,297.7779999999999,19.4,0,0,3,3,0,0,22961,0
14282,6,1680.4799999999993,1294,104,0,280.07999999999987,17.333333333333332,0,1,0,0,0,0,23204,0
14289,4,723.5199999999999,252,112,14,180.87999999999997,28,0,0,0,1,0,0,48194,0
14291,6,2030.22,1256,102,10,338.37,17,0,0,0,0,0,0,22662,0
14292,5,1087.31,449,140,23,217.462,28,0,0,1,2,0,0,23203,0
14298,26,26471.20999999999,32804,170,3,1018.1234615384611,6.538461538461538,0,3,2,3,0,0,85230,0
14299,6,548.3,176,21,154,91.38333333333333,3.5,0,0,0,6,0,0,22423,0
14309,6,1129.4200000000003,847,154,6,188.2366666666667,25.666666666666668,0,0,0,3,0,0,85032,0
14312,4,854.59,385,150,24,213.6475,37.5,0,0,1,0,0,1,22178,0
14329,6,3046.0799999999986,1912,165,2,507.6799999999998,27.5,0,2,1,0,0,0,85099,0
14334,5,1345.3300000000006,921,115,41,269.06600000000014,23,0,0,0,0,0,0,48187,0
14339,4,289.90999999999997,150,8,72,72.47749999999999,2,0,0,0,0,0,0,23155,1
14341,5,687.25,416,103,53,137.45,20.6,0,3,0,0,0,0,85099,0
14364,6,2808.0000000000005,1464,47,2,468.00000000000006,7.833333333333333,0,2,0,0,0,0,23298,0
14367,10,4061.7700000000013,1859,91,22,406.17700000000013,9.1,0,3,5,0,4,0,47590,0
14395,6,1647.5899999999992,797,156,15,274.5983333333332,26,0,0,0,0,4,0,85152,0
14397,4,379.04,312,41,9,94.76,10.25,0,0,0,0,0,0,22178,0
14401,4,1352.0399999999995,1136,153,0,338.0099999999999,38.25,0,0,0,0,0,1,84944,0
14404,4,865.2,552,157,7,216.3,39.25,0,0,0,2,0,0,20727,0
14407,4,972.98,414,77,37,243.245,19.25,0,1,0,0,0,0,22848,0
14408,4,1215.3200000000004,721,92,9,303.8300000000001,23,0,0,0,0,0,0,85152,0
14410,8,709.8000000000009,332,99,44,88.72500000000011,12.375,0,0,0,0,2,0,22261,0
14415,6,1866.989999999999,801,142,20,311.16499999999985,23.666666666666668,0,4,4,0,0,0,85099,0
14426,6,2196.8800000000015,1226,158,16,366.14666666666693,26.333333333333332,0,0,0,0,1,0,22847,0
14442,4,1548.8699999999997,476,118,36,387.2174999999999,29.5,0,0,0,0,0,0,23092,1
14462,10,1106.5500000000002,479,153,23,110.65500000000002,15.3,0,0,3,0,1,1,22948,0
14472,4,1249.7500000000007,811,147,25,312.43750000000017,36.75,0,0,1,1,0,4,84879,0
14475,5,496.13999999999993,224,138,4,99.22799999999998,27.6,0,2,2,0,0,0,22767,0
14502,8,971.9800000000013,432,78,72,121.49750000000016,9.75,0,0,3,0,0,2,21340,0
14505,6,2096.9700000000025,830,132,42,349.4950000000004,22,0,0,1,1,2,0,47566,0
14507,4,600.3100000000001,324,60,53,150.07750000000001,15,0,0,1,1,0,0,85049,0
14524,4,777.2700000000001,286,103,16,194.31750000000002,25.75,0,0,1,1,0,0,20718,0
14525,6,1492.64,783,144,20,248.77333333333334,24,0,2,2,1,1,0,21622,0
14527,40,2718.7599999999984,776,175,1,67.96899999999997,4.375,0,7,2,1,4,0,D,0
14534,11,2279.8400000000024,1074,149,7,207.25818181818204,13.545454545454545,0,1,0,0,3,0,22727,0
14541,7,1315.6500000000008,603,150,6,187.9500000000001,21.428571428571427,0,0,0,0,0,0,84997,1
